ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM Discapacidad,IVM Educación,IVM Habitabilidad,IVM Familiar,IVM Participación,IVM CSE Familia,IVM CSE Comunal
22690,4,COLEGIO AYTUE,Particular Subvencionado,Rural,10,102,10202,Ancud,157,45.7078103567993,0,4,1,1,31.9370118968732,0.0,12.3202084539255,22.26256598521,37.0404815672107,13.7214510994163,53.8886442900932,22.975614960253
22692,0,PATAGONIA COLLEGE,Particular Subvencionado,Urbano,10,101,10101,Puerto Montt,309,38.6388967973999,113,90,73,33,46.3404638905601,0.0,10.1623580939252,19.5244997995896,28.1687440511282,3.22985315136665,34.3692706234081,13.1692965518605
22702,1,COLEGIO PATAGONIA ALERCE CORDILLERA,Particular Subvencionado,Urbano,10,101,10101,Puerto Montt,308,43.6687742005987,54,83,99,72,47.2895780023521,2.62468096597526,13.3146049479511,20.5160970044487,32.6887722101857,2.20577837671181,54.0903696798113,13.1692965518605
22707,2,COLEGIO GILGAL,Particular Subvencionado,Urbano,10,103,10301,Osorno,123,46.6148371756166,18,25,32,48,46.9263088474701,1.04263854449882,12.6369061073226,20.8741464852693,34.5420806948224,6.05845763339912,57.0101963948494,16.8332185178464
22738,8,COLEGIO SAN LUCAS DE VALDIVIA,Particular Subvencionado,Urbano,14,141,14101,Valdivia,28,46.1560033255665,3,7,9,9,49.3996957881023,0.0,17.7575444711496,22.4163165565219,30.4292957282636,7.10460884710866,51.9773959583232,14.5717178836853
22743,9,GARDEN COLLEGE,Particular Subvencionado,Urbano,14,142,14201,La Unión,110,44.5194198853846,17,30,31,32,49.8794543778171,0.0,11.0154948925321,21.7281278517458,32.0852026968793,1.21404836548048,51.080268317604,27.3773812137801
22747,1,CENTRO EDUCATIVO SAGRADO CORAZON DE JESUS,Particular Subvencionado,Urbano,14,141,14106,Mariquina,97,44.3168397731083,17,23,30,27,49.7090076073967,1.1647233391074,14.290826581684,20.9522615240501,30.5327127675224,0.839485291695074,55.3653035468698,36.68916818567
22749,8,ESCUELA PARTICULAR COUNTRY SCHOOL,Particular Subvencionado,Rural,14,141,14107,Paillaco,44,44.8752335645804,9,10,13,12,36.612262037599,1.92576415727416,17.0031514993543,24.0594715643167,30.8404268621011,0.148054678717131,56.0939378818618,28.9146426741292
22753,6,ESCUELA PARTICULAR ADONAI,Particular Subvencionado,Rural,14,141,14107,Paillaco,27,41.7476311907033,8,6,8,5,46.7094237285669,3.13828233037271,10.8408384853625,19.1967875717142,26.3534883605853,2.46501572095594,55.1256712303002,28.9146426741292
22756,0,COLEGIO AUSTRAL LANCO,Particular Subvencionado,Urbano,14,141,14103,Lanco,48,40.0513690838163,14,16,15,3,47.0894749292397,5.02547301805775,11.5439660778967,18.5692688544512,31.3694142266814,0.0678583944120185,48.8039850901624,26.751356475852
