ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM CSE Familiar,IVM Estimulación y Apoyo,IVM Familia,IVM CSE Comunal,IVM Derechos
14871,7,COLEGIO ALIMAPU,Particular Subvencionado,Urbano,5,51,5101,Valparaíso,54,44.3814223869116,2,1,1,0,18.4069510017456,29.162620611679,16.0243583596834,72.807920614616,5.0693578249691,18.9434570184202
14872,5,ESCUELA DE LENGUAJE ANTU AINIL,Particular Subvencionado,Urbano,5,58,5802,Limache,54,53.9957290287768,2,8,6,2,21.4998485359863,41.0649375943788,39.9180895391119,70.6492124798374,15.568401530362,11.1111111111111
14873,3,COLEGIO BAUTISTA JESUS MI REFUGIO,Particular Subvencionado,Urbano,5,56,5601,San Antonio,54,48.3651584094391,6,1,2,1,35.2163859304009,38.1418690193391,36.0248692566638,79.3988554325088,7.64439191495241,0.0
14876,8,ESC. ESP. DE LENGUAJE JARDIN DEL MAR,Particular Subvencionado,Urbano,5,56,5604,El Quisco,52,54.1810734385231,14,13,13,12,27.8872969718668,40.9941993047798,38.0489242876739,67.7852296248475,16.7038481020581,11.1320988532385
14878,4,ESCUELA DE PARVULOS EBENEZERITO,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,29,55.6024106766062,8,4,9,8,23.605445042945,42.5984097604328,36.7633963333953,71.5426270684453,6.48589699343908,6.78981681742335
14879,2,"LICEO PART, MIXTO SAN FELIPE",Particular Subvencionado,Urbano,5,57,5701,San Felipe,91,53.839740480161,22,24,26,19,29.7791238001839,42.8537060527817,38.9926685268667,73.1126978178289,9.96324434807092,10.190345980451
14880,6,ESC. ESP. DE LENG. Y JARDIN INF. LOS ROBLES DE QUILLOTA,Particular Subvencionado,Urbano,5,55,5501,Quillota,84,50.4598635869502,26,28,18,12,26.1936791123556,38.0421424740031,34.3065133024361,71.1080669614367,11.6866771429453,3.57142857142857
14882,2,ESC.ESPECIAL DE LENGUAJE OROLONCO,Particular Subvencionado,Urbano,5,57,5705,Putaendo,30,56.8557534514109,8,3,8,11,24.2504570094853,43.9670738805955,43.2948916553311,64.0450252141679,38.7542348403974,10.0
14883,0,ESCUELA DE LENGUAJE ALIWEN,Particular Subvencionado,Urbano,5,57,5703,Llayllay,54,57.567431663343,2,4,5,8,25.6376050554741,45.9023622423699,40.8778225451241,64.5118347689447,20.5245078011704,6.53821957506944
14885,7,COLEGIO LEONARDO DA VINCI,Particular Subvencionado,Urbano,5,57,5703,Llayllay,32,48.5645101642272,14,11,6,1,23.9131140228557,33.7108937946944,34.8059509904231,73.5265975443242,20.7154030180751,6.25
14894,6,ESCUELA ESP. DE LENGUAJE MILLANTU,Particular Subvencionado,Urbano,5,55,5501,Quillota,54,39.2160010974986,1,0,0,0,20.0572062353899,17.1519074739683,22.7372042500807,85.3406884046026,11.6550048245727,0.0
14897,0,ESC. ESPECIAL DE LENGUAJE ALBERTO HURTADO,Particular Subvencionado,Urbano,5,58,5804,Villa Alemana,54,51.2831903466794,5,5,6,2,30.3885642380055,41.9175577024112,48.0786825588504,69.081686367035,3.45690412278632,16.6666666666667
14901,2,COLEGIO SIMON BOLIVAR,Particular Subvencionado,Urbano,5,55,5501,Quillota,109,49.5291259904848,41,35,23,10,28.3318245466005,37.2970687613422,39.3921113667829,70.3288426127107,11.7897844249388,5.08846760038609
14903,9,ESC.ESP.DE LENG.NIÑO DIVINO,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,49,56.1784681883515,11,5,15,18,25.0799281089766,46.1061402033151,39.7148086002619,69.3440923402051,6.52845757586046,4.51287468635911
14904,7,ESCUELA DE PARVULOS CASCANUECES,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,44,48.4597844077431,20,13,9,2,25.1266631394174,36.4599595103996,40.2494969106599,73.1265766589155,6.59257056622258,3.44426491244003
14907,1,ESCUELA ESPECIAL DE LENGUAJE ANTU,Particular Subvencionado,Urbano,5,55,5504,La Cruz,73,53.7303789875098,13,21,27,12,27.5254558845383,41.7074237973772,39.5123361370652,71.6279591089812,10.3865290840377,4.81572131708714
14909,8,ESCUELA ESPECIAL DE LENGUAJE PAIHUEN-MAPU,Particular Subvencionado,Urbano,5,56,5601,San Antonio,24,56.2531962513451,4,8,1,11,24.3125733425609,45.8437703061752,42.3518341644168,69.0916446676513,7.64749227007815,3.15724283640336
14912,8,COLEGIO SAN ANTONIO DE VILLA ALEMANA,Particular Subvencionado,Urbano,5,58,5804,Villa Alemana,85,47.6708599053154,36,27,18,4,22.8495475465251,33.7062345740934,38.6063778129964,73.2966236020994,3.45325181896814,7.38025275554167
14913,6,COLEGIO GALILEO,Particular Subvencionado,Urbano,5,55,5501,Quillota,23,48.6618144855403,10,5,5,3,19.5507317300323,31.5933051417231,33.1675913309517,75.6380484530882,11.8216154513473,6.58902852814615
14915,2,ESCUELA DE PARVULOS ALIANZA ARTYLEN,Particular Subvencionado,Urbano,5,54,5401,La Ligua,20,52.6165706393963,4,6,7,3,27.6960603607891,40.4726309027002,39.205086009803,65.7147607801067,22.4648268253445,1.21130859631596
14916,0,ESCUELA DE PARVULOS PARAISO,Particular Subvencionado,Urbano,5,51,5101,Valparaíso,54,49.4711362224009,1,0,1,1,24.3104313591495,32.824423424235,34.0403262792156,75.4014673202432,5.60907206072948,0.0
