ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto
6465,3,LICEO PART. SUBVENC. LA SIERRA,Particular Subvencionado,Rural,9,91,9116,Saavedra,54,22.8595757249782,22,2,5,25
6496,3,ESCUELA GABRIELA MISTRAL,Particular Subvencionado,Rural,9,91,9116,Saavedra,349,15.7607636184566,14,0,0,4
6497,1,LICEO PUBLICO BICENTENARIO DE EXCELENCIA CLAUDIO ARRAU LEON,Servicio Local de Educación(SLE),Urbano,9,91,9102,Carahue,718,17.1798584919425,456,67,57,138
6500,5,COMPLEJO EDUCACIONAL DARÍO SALAS,Servicio Local de Educación(SLE),Urbano,9,91,9102,Carahue,472,16.1760778801829,327,50,31,64
6584,6,LICEO INDUSTRIAL C-16 NUEVA IMPERIAL,Administración Delegada (C. P. 3166),Urbano,9,91,9111,Nueva Imperial,398,22.4026671068971,146,47,32,173
6585,4,LICEO BICENTENARIO LUIS GONZALEZ VASQUEZ 6585-4,Servicio Local de Educación(SLE),Urbano,9,91,9111,Nueva Imperial,713,18.6936265552633,374,85,66,188
6586,2,LICEO BICENTENARIO JAMES MUNDELL,Municipal DAEM,Urbano,9,91,9121,Cholchol,213,17.7091703205551,120,23,22,48
6641,9,LICEO AGRICOLA CHOL CHOL,Particular Subvencionado,Urbano,9,91,9121,Cholchol,99,18.854202706608,54,8,10,27
6643,5,LICEO INTERCULTURAL TÉCNICO PROFESIONAL GUACOLDA,Particular Subvencionado,Urbano,9,91,9121,Cholchol,380,19.2988363949253,182,40,46,112
6644,3,LICEO SAN FCO DE ASIS DE NVA IMPERIAL,Particular Subvencionado,Urbano,9,91,9111,Nueva Imperial,358,16.4909012769292,235,45,32,46
6649,4,LICEO SAN FRANCISCO DE ASIS DE CHOL CHOL,Particular Subvencionado,Urbano,9,91,9121,Cholchol,70,17.1843639247004,46,4,6,14
6650,8,COLEGIO ANGLICANO WILLIAM WILSON,Particular Subvencionado,Urbano,9,91,9121,Cholchol,122,15.9377868955425,84,13,4,21
6708,3,LICEO GREGORIO URRUTIA,Municipal DAEM,Urbano,9,91,9106,Galvarino,441,18.6420614324459,225,56,39,121
6751,2,INSTITUTO COMERCIAL DE VALDIVIA,Servicio Local de Educación(SLE),Urbano,14,141,14101,Valdivia,645,20.266569768659,304,63,65,213
6752,0,LICEO TECNICO VALDIVIA,Servicio Local de Educación(SLE),Urbano,14,141,14101,Valdivia,666,22.5729914646893,245,77,53,291
6753,9,LICEO SANTA MARIA LA BLANCA,Servicio Local de Educación(SLE),Urbano,14,141,14101,Valdivia,350,19.8028406998757,195,26,23,106
6754,7,LICEO ARMANDO ROBLES RIVERA,Servicio Local de Educación(SLE),Urbano,14,141,14101,Valdivia,520,18.5248399863042,291,50,56,123
6755,5,LICEO INDUSTRIAL VALDIVIA,Servicio Local de Educación(SLE),Urbano,14,141,14101,Valdivia,491,22.6782342208241,145,62,61,223
6757,1,INSTITUTO DE RECURSOS RENOVABLES Y TECNOLOGÍA LOS RÍOS,Servicio Local de Educación(SLE),Urbano,14,141,14101,Valdivia,57,25.9208848315012,12,4,9,32
6766,0,COLEGIO TENIENTE HERNAN MERINO CORREA,Servicio Local de Educación(SLE),Urbano,14,141,14101,Valdivia,250,19.004972257912,132,31,13,74
6770,9,COLEGIO BICENTENARIO DE MUSICA JUAN SEBASTIAN BACH,Servicio Local de Educación(SLE),Urbano,14,141,14101,Valdivia,172,16.8472868773534,119,21,17,15
6826,8,COLEGIO SANTA MARTA DE VALDIVIA,Particular Subvencionado,Urbano,14,141,14101,Valdivia,181,14.6461607687834,148,10,12,11
6828,4,COLEGIO AUSTRAL,Particular Subvencionado,Urbano,14,141,14101,Valdivia,137,18.2092454418474,76,15,17,29
6829,2,INSTITUTO SALESIANO,Particular Subvencionado,Urbano,14,141,14101,Valdivia,334,16.2964608870751,226,34,29,45
6830,6,COLEGIO NUESTRA SENORA DEL CARMEN,Particular Subvencionado,Urbano,14,141,14101,Valdivia,356,17.1085101274234,235,35,22,64
6832,2,COLEGIO MARIA AUXILIADORA,Particular Subvencionado,Urbano,14,141,14101,Valdivia,256,18.6706761828462,129,36,34,57
6834,9,COLEGIO METODISTA LA TRINIDAD,Particular Subvencionado,Urbano,14,141,14101,Valdivia,51,19.3782075205706,27,5,6,13
6835,7,COLEGIO ADVENTISTA DE VALDIVIA,Particular Subvencionado,Urbano,14,141,14101,Valdivia,334,17.9765294991529,185,34,44,71
6836,5,COLEGIO ALONSO DE ERCILLA,Particular Subvencionado,Urbano,14,141,14101,Valdivia,166,17.6645213566634,100,21,16,29
6846,2,LICEO SAN LUIS DE ALBA,Servicio Local de Educación(SLE),Urbano,14,141,14106,Mariquina,344,20.3590056214017,159,33,29,123
6853,5,LICEO POLITECNICO PESQUERO,Servicio Local de Educación(SLE),Rural,14,141,14106,Mariquina,96,23.8261894697246,20,10,17,49
6895,0,LICEO BICENTENARIO SANTA CRUZ,Particular Subvencionado,Urbano,14,141,14106,Mariquina,295,17.6074152988049,187,22,25,61
6896,9,SEMINARIO SAN FIDEL,Particular Subvencionado,Urbano,14,141,14106,Mariquina,360,17.1132651665262,230,39,36,55
6897,7,LICEO BICENTENERIO DE EXCELENCIA CAMILO HENRIQUEZ GONZALEZ DE LANCO.,Servicio Local de Educación(SLE),Urbano,14,141,14103,Lanco,579,15.5028556902957,433,50,46,50
6899,3,LICEO REPUBLICA DEL BRASIL,Servicio Local de Educación(SLE),Rural,14,141,14103,Lanco,85,18.4090138969775,43,12,13,17
6922,1,LICEO PADRE ALCUINO,Particular Subvencionado,Urbano,14,141,14103,Lanco,141,19.8062404134994,64,23,12,42
6925,6,COLEGIO MARIA REINA,Particular Subvencionado,Rural,14,141,14103,Lanco,92,18.349627629383,49,8,12,23
6929,9,LICEO BICENTENARIO ALBERTO BLEST GANA,Servicio Local de Educación(SLE),Urbano,14,141,14104,Los Lagos,855,17.2952759943298,533,76,71,175
6983,3,COLEGIO JOSE MANUEL BALMACEDA FÉRNANDEZ,Municipal DAEM,Urbano,14,142,14202,Futrono,200,20.5902637956141,92,16,19,73
7004,1,COLEGIO MARIA DEOGRACIA,Particular Subvencionado,Urbano,14,142,14202,Futrono,165,17.0143474050035,106,18,15,26
7006,8,LICEO SAN CONRADO DE FUTRONO,Particular Subvencionado,Urbano,14,142,14202,Futrono,548,17.5768794492425,335,48,47,118
7015,7,LICEO BICENTENARIO DE EXCELENCIA CARLOS HAVERBECK RICHTER,Servicio Local de Educación(SLE),Urbano,14,141,14102,Corral,256,18.6023978530698,137,28,38,53
7031,9,LICEO BICENTENARIO GABRIELA MISTRAL,Servicio Local de Educación(SLE),Urbano,14,141,14105,Máfil,207,19.2985494096335,102,31,19,55
7044,0,LICEO SANTO CURA DE ARS,Particular Subvencionado,Urbano,14,141,14105,Máfil,296,19.3027589804962,148,25,30,93
7049,1,CENTRO EDUCATIVO FERNANDO SANTIVAN,Servicio Local de Educación(SLE),Urbano,14,141,14108,Panguipulli,258,17.0866233235073,171,23,14,50
7085,8,COMPLEJO EDUCACIONAL TIERRA DE ESPERANZA,Servicio Local de Educación(SLE),Rural,14,141,14108,Panguipulli,75,16.4436432049249,49,7,4,15
7102,1,LICEO PADRE SIGISFREDO,Particular Subvencionado,Urbano,14,141,14108,Panguipulli,354,19.1466353549064,188,34,36,96
7128,5,COLEGIO DE CULTURA Y DIFUSION ARTISTICA,Municipal DAEM,Urbano,14,142,14201,La Unión,225,18.5070377783156,127,24,20,54
7129,3,LICEO BICENTENARIO RECTOR ABDON ANDRADE COLOMA,Municipal DAEM,Urbano,14,142,14201,La Unión,742,17.7396090414108,450,93,48,151
7135,8,COLEGIO TECNICO PROFESIONAL N°1 HONORIO OJEDA VALDERAS,Municipal DAEM,Urbano,14,142,14201,La Unión,188,18.8796299041938,98,22,17,51
7181,1,COLEGIO SANTA MARTA,Particular Subvencionado,Urbano,14,142,14201,La Unión,176,13.3872554996237,151,10,7,8
7183,8,COLEGIO PADRE DAMIAN,Particular Subvencionado,Urbano,14,142,14201,La Unión,149,17.5814043424459,88,17,22,22
7200,1,LICEO RODULFO AMANDO PHILIPPI,Servicio Local de Educación(SLE),Urbano,14,141,14107,Paillaco,777,15.5656038952886,555,66,54,102
7202,8,COLEGIO PROYECTO DE FUTURO,Servicio Local de Educación(SLE),Urbano,14,141,14107,Paillaco,93,16.0427550760952,63,15,2,13
7203,6,ESCUELA OLEGARIO MORALES OLIVA,Servicio Local de Educación(SLE),Urbano,14,141,14107,Paillaco,20,20.0349698258181,13,1,1,5
7231,1,ESCUELA PARTICULAR ALEMANA,Particular Subvencionado,Urbano,14,141,14107,Paillaco,97,15.2911058615071,74,7,4,12
7236,2,LICEO BICENTENARIO VICENTE PÉREZ ROSALES,Municipal DAEM,Urbano,14,142,14204,Río Bueno,428,16.0941061404512,315,33,21,59
7240,0,COLEGIO BICENTENARIO CRUCERO OSCAR DANIEL,Municipal DAEM,Rural,14,142,14204,Río Bueno,106,16.2016190521906,74,8,10,14
7276,1,COLEGIO SANTA CRUZ,Particular Subvencionado,Urbano,14,142,14204,Río Bueno,320,15.6161070496289,228,39,24,29
7299,0,LICEO ANTONIO VARAS,Municipal DAEM,Urbano,14,142,14203,Lago Ranco,321,17.1460972686965,199,36,30,56
7325,3,LICEO CARMELA CARVAJAL DE PRAT,Municipal DAEM,Urbano,10,103,10301,Osorno,900,17.4346261612127,554,103,77,166
7326,1,LICEO INDUSTRIAL OSORNO,Municipal DAEM,Urbano,10,103,10301,Osorno,447,22.3306466505822,144,57,49,197
