ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto
25700,1,COLEGIO LOS ALPES MAIPU,Particular Subvencionado,Urbano,13,131,13119,Maipú,147,37.2126871403503,127,12,4,4
25703,6,COLEGIO PART. ALCANTARA DE LA FLORIDA,Particular Subvencionado,Urbano,13,131,13110,La Florida,142,36.093186146804,126,7,4,5
25704,4,COLEGIO PART. ALCANTARA DE LA CORDILLERA,Particular Subvencionado,Urbano,13,131,13110,La Florida,191,37.2890378434683,176,12,2,1
25709,5,LINCOLN COLLEGE LA FLORIDA,Particular Subvencionado,Urbano,13,131,13110,La Florida,236,37.43060086299,204,12,13,7
25711,7,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,Municipal DAEM,Urbano,13,134,13404,Paine,194,43.439863913582,107,15,22,50
25712,5,COLEGIO PART. ANDARES DE LA FLORIDA,Particular Subvencionado,Urbano,13,131,13110,La Florida,35,39.0516144886431,29,1,1,4
25713,3,COLEGIO PART. MANANTIAL DE LA FLORIDA,Particular Subvencionado,Urbano,13,131,13110,La Florida,55,36.0286701535548,52,0,3,0
25714,1,COLEGIO PART. INSTITUTO CORINTIO,Particular Subvencionado,Urbano,13,134,13401,San Bernardo,120,35.8222625525248,115,3,1,1
25716,8,COLEGIO PART. NEW HEINRICH HIGH SCHOOL,Particular Subvencionado,Urbano,13,131,13120,Ñuñoa,140,38.337146468837,110,15,11,4
25717,6,COLEGIO ALCÁNTARA DE LOS ALTOS DE PEÑALOLEN,Particular Subvencionado,Urbano,13,131,13122,Peñalolén,249,39.9908545919704,178,29,18,24
25718,2,COLEGIO PART. LOS ANGELES SANTIAGO DE SAN MIG,Particular Subvencionado,Urbano,13,131,13130,San Miguel,51,37.3924893918759,47,1,1,2
25722,2,COLEGIO PART. PATRONA SENORA DE LOURDES,Particular Subvencionado,Urbano,13,131,13110,La Florida,135,36.4739713178829,122,4,4,5
25725,7,ESCUELA PART. NAHUEL,Particular Subvencionado,Urbano,13,134,13404,Paine,214,37.2147761330517,196,6,8,4
25727,3,LICEO PART. SALESIANO MANUEL ARRIARAN BARROS,Particular Subvencionado,Urbano,13,131,13109,La Cisterna,254,36.9516106904363,227,16,5,6
25733,8,ESCUELA PART. SANTA TERESA DE QUILICURA,Particular Subvencionado,Urbano,13,131,13125,Quilicura,178,41.2036335664059,117,17,19,25
25737,0,COLEGIO PART. ACROPOLIS,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,153,39.5823100223714,125,16,5,7
25738,9,ESCUELA BASICA PARTICULAR SAN JOSE DE  MELIP¦,Particular Subvencionado,Urbano,13,135,13501,Melipilla,69,36.4379963415297,64,0,2,3
25739,7,COLEGIO NTRA. SRA. DEL CARMEN DE MAIPU,Particular Subvencionado,Urbano,13,131,13119,Maipú,133,36.0486794591051,126,4,1,2
25749,4,COLEGIO PART. ALICANTE DEL ROSAL,Particular Subvencionado,Urbano,13,131,13119,Maipú,482,39.6114258989296,361,55,38,28
25751,6,COLEGIO LIAHONA CORDILLERA,Particular Subvencionado,Urbano,13,131,13110,La Florida,154,36.4724554629769,141,6,3,4
25766,4,LINCOLN COLLEGE SAN MARTIN,Particular Subvencionado,Urbano,13,131,13119,Maipú,275,38.05437307254,232,24,9,10
25767,2,COLEGIO SAN JORGE DE LAS CONDES,Particular Subvencionado,Urbano,13,131,13114,Las Condes,64,39.6007104084166,51,4,2,7
25770,2,LICEO NACIONAL DE MAIPU,Servicio Local de Educación(SLE),Urbano,13,131,13119,Maipú,410,38.2155633923323,347,31,15,17
25779,6,COLEGIO POLIV. CARDENAL JOSE MARIA CARO,Particular Subvencionado,Urbano,13,131,13112,La Pintana,220,41.915141878961,134,22,25,39
25781,8,COLEGIO BICENTENARIO ARZOBISPO CRESCENTE ERRAZURIZ,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,240,38.7373760173571,186,15,13,26
25783,4,COLEGIO POLIV. ARZOBISPO MANUEL VICUNA,Particular Subvencionado,Urbano,13,131,13129,San Joaquín,87,43.8083327942253,47,8,14,18
25788,5,ESCUELA BASICA ANA FRANK,Servicio Local de Educación(SLE),Urbano,13,131,13125,Quilicura,156,40.7461610806394,114,17,7,18
25790,7,COLEGIO POLIV. DIEGO PORTALES DE MAIPU,Particular Subvencionado,Urbano,13,131,13119,Maipú,88,41.9605408619264,51,4,10,23
25797,4,ESCUELA B-SICA PUCARA LASANA,Servicio Local de Educación(SLE),Urbano,13,131,13125,Quilicura,61,40.9708751882906,41,7,2,11
25798,2,COLEGIO RELIGIOSO SANTA MARGARITA,Particular Subvencionado,Urbano,13,131,13130,San Miguel,63,37.9584984220541,56,3,2,2
25799,0,ESC. BAS. PART. ERNESTINA KRISCHUK,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,48,39.4001170144914,39,5,1,3
25803,2,ESC. PART. ALBERT SCHWEITZER,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,54,40.9579122255831,38,5,2,9
25804,0,COLEGIO PART. ANTUPIREN,Particular Subvencionado,Urbano,13,131,13122,Peñalolén,222,37.8133890258686,189,15,6,12
25808,3,ESC. BAS. PART. LAS NACIONES,Particular Subvencionado,Urbano,13,131,13119,Maipú,48,42.2712055594566,29,3,3,13
25814,8,COLEGIO SAYEN,Particular Subvencionado,Urbano,13,135,13501,Melipilla,65,38.3976317804044,58,2,4,1
25826,1,COLEGIO ADVENTISTA LA FLORIDA,Particular Subvencionado,Urbano,13,131,13110,La Florida,50,35.1883754572544,50,0,0,0
